City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Le Port,RE,-20.9373,55.2919,78.62,52,0,2.15,clear sky
288,Sorland,NO,67.667,12.6934,53.67,82,95,3.44,overcast clouds
289,Waingapu,ID,-9.6567,120.2641,84.76,49,88,16.62,overcast clouds
290,Praia,CV,14.9215,-23.5087,73.94,83,20,4.61,few clouds
291,Sibolga,ID,1.7427,98.7792,84.94,66,100,6.15,overcast clouds
292,Alanya,TR,36.5438,31.9998,90.48,57,0,5.79,clear sky
293,Okato,NZ,-39.2,173.8833,45.43,72,54,9.64,broken clouds
294,Severo-Kurilsk,RU,50.6789,156.125,58.24,90,97,7.94,overcast clouds
295,Santa Cruz De Tenerife,ES,28.4682,-16.2546,80.71,87,39,15.12,scattered clouds
296,Basmat,IN,19.3167,77.1667,84.54,70,100,5.21,overcast clouds
297,Kiama,AU,-34.6833,150.8667,61.45,70,100,3.0,overcast clouds
298,Juneau,US,58.3019,-134.4197,55.4,94,90,3.0,moderate rain
299,Callaway,US,30.153,-85.5699,75.13,91,1,1.99,clear sky
300,Bandar-E Lengeh,IR,26.5579,54.8807,98.71,59,68,9.22,broken clouds
301,Xining,CN,36.6167,101.7667,75.2,41,100,3.42,overcast clouds
302,Bud,US,39.447,-86.1758,69.78,96,1,5.35,clear sky
303,Wuhu,CN,31.3366,118.3755,98.51,51,6,7.18,clear sky
304,Havoysund,NO,70.9963,24.6622,52.03,98,100,17.98,overcast clouds
305,Villefontaine,FR,45.6125,5.1456,60.31,100,90,6.91,light rain
306,Filingue,NE,14.3521,3.3168,84.34,51,98,14.25,overcast clouds
307,Luau,AO,-10.7073,22.2247,68.83,35,4,3.8,clear sky
308,Areka,ET,7.0667,37.7,58.95,96,100,2.3,light rain
309,Esperance,AU,-33.8667,121.9,64.24,58,8,18.32,clear sky
310,Magadan,RU,59.5667,150.8,55.54,96,100,19.22,moderate rain
311,Talcahuano,CL,-36.7167,-73.1167,37.08,100,75,5.75,mist
312,Almaznyy,RU,48.0448,40.045,86.14,34,0,10.25,clear sky
313,Waitati,NZ,-45.75,170.5667,44.64,70,100,5.21,light rain
314,Vestmannaeyjar,IS,63.4427,-20.2734,50.63,90,100,11.61,overcast clouds
315,Tucson,US,32.2217,-110.9265,90.57,55,1,1.01,clear sky
316,Vostok,RU,46.4856,135.8833,87.51,46,99,4.76,overcast clouds
317,Zonguldak,TR,41.25,31.8333,70.65,56,0,3.78,clear sky
318,Waddan,LY,29.1614,16.139,83.14,34,0,1.77,clear sky
319,Jaguaruana,BR,-4.8339,-37.7811,69.66,85,87,5.41,overcast clouds
320,Nyaunglebin,MM,17.95,96.7333,90.63,57,52,4.68,broken clouds
321,Tautira,PF,-17.7333,-149.15,77.02,79,7,20.62,light rain
322,Aklavik,CA,68.2191,-135.0107,45.43,92,100,9.31,light rain
323,Cestas,FR,44.7435,-0.6791,64.06,98,90,3.0,overcast clouds
324,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.37,86,31,8.7,scattered clouds
325,Belyy Yar,RU,53.6039,91.3903,82.29,42,0,6.71,clear sky
326,Jalu,LY,29.0331,21.5482,88.03,28,0,6.53,clear sky
327,Mufumbwe,ZM,-13.6833,24.8,67.33,39,8,6.44,clear sky
328,Baijiantan,CN,45.6333,85.1833,91.31,22,91,10.22,overcast clouds
329,Saskylakh,RU,71.9167,114.0833,45.95,50,100,19.28,overcast clouds
330,Zarubino,RU,42.63,131.0922,71.71,93,51,10.29,broken clouds
331,Lasa,IT,46.6166,10.7002,59.74,87,98,2.13,overcast clouds
332,Brigantine,US,39.4101,-74.3646,80.87,90,1,4.61,clear sky
333,Urumqi,CN,43.801,87.6005,77.95,44,0,6.71,clear sky
334,Calbiga,PH,11.6247,125.0164,83.79,86,100,2.98,moderate rain
335,Chernukha,RU,55.5974,43.7556,84.69,42,85,6.04,overcast clouds
336,Avera,US,33.194,-82.5271,72.91,84,7,4.9,clear sky
337,Bakchar,RU,57.0186,82.0711,79.3,52,100,8.03,overcast clouds
338,Dudinka,RU,69.4058,86.1778,53.47,46,99,6.42,overcast clouds
339,Nanakuli,US,21.3906,-158.1547,78.75,67,90,4.61,overcast clouds
340,Evensk,RU,61.95,159.2333,52.39,92,100,5.57,overcast clouds
341,Jawhar,SO,2.7809,45.5005,84.58,56,99,21.59,light rain
342,Shelby,US,35.2001,-89.8668,73.49,92,1,1.01,clear sky
343,Lompoc,US,34.6391,-120.4579,62.78,87,90,4.61,overcast clouds
344,Smithers,CA,54.7804,-127.1743,64.72,52,1,5.75,clear sky
345,Costa Rica,BR,-23.4167,-54.65,60.44,51,93,5.35,overcast clouds
